episode, step, reward, direction_x, direction_y, direction_z, central_force, torque
406, 1, 0.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 2, 2.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 3, 2.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 4, 2.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 5, 2.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 6, 2.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 7, 2.0, 1.0, -1.0, 0.8039179444313, 0.0, 0.0
406, 8, 0.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 9, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 10, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 11, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 12, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 13, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 14, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 15, 1.0, 1.0, -1.0, 0.94437503814697, 0.0, 0.0
406, 16, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 17, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 18, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 19, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 20, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 21, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 22, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 23, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 24, 0.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 25, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 26, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 27, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 28, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 29, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 30, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 31, 1.0, 1.0, -1.0, 0.75487697124481, 0.0, 0.0
406, 32, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 33, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 34, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 35, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 36, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 37, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 38, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 39, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 40, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 41, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 42, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 43, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 44, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 45, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 46, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 47, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 48, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 49, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 50, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 51, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 52, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 53, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 54, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 55, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 56, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 57, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 58, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 59, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 60, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 61, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 62, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 63, 0.0, 1.0, -1.0, 0.25600475072861, 0.0, 0.0
406, 64, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 65, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 66, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 67, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 68, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 69, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 70, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 71, 0.0, 1.0, -1.0, -0.22806990146637, 0.0, 0.0
406, 72, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 73, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 74, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 75, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 76, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 77, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 78, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 79, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 80, 0.0, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 81, 0.0, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 82, -0.5813022851944, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 83, -1.10350525379181, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 84, -1.57261776924133, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 85, -1.99403715133667, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 86, -2.37261199951172, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 87, -2.71269845962524, 1.0, -1.0, 0.51209586858749, 0.0, 0.3368593454361
406, 88, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 89, -3.29266023635864, 1.0, -1.0, 1.0, 0.0, 0.0
406, 90, -2.95790648460388, 1.0, -1.0, 1.0, 0.0, 0.0
406, 91, -2.65718603134155, 1.0, -1.0, 1.0, 0.0, 0.0
406, 92, -2.38703870773315, 1.0, -1.0, 1.0, 0.0, 0.0
406, 93, -2.14435648918152, 1.0, -1.0, 1.0, 0.0, 0.0
406, 94, -1.92634689807892, 1.0, -1.0, 1.0, 0.0, 0.0
406, 95, -1.73050153255463, 1.0, -1.0, 1.0, 0.0, 0.0
406, 96, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 97, -1.39651954174042, 1.0, -1.0, -1.0, 0.0, 0.0
406, 98, -1.25453996658325, 1.0, -1.0, -1.0, 0.0, 0.0
406, 99, -1.12699508666992, 1.0, -1.0, -1.0, 0.0, 0.0
406, 100, -1.01241719722748, 1.0, -1.0, -1.0, 0.0, 0.0
406, 101, -0.90948808193207, 1.0, -1.0, -1.0, 0.0, 0.0
406, 102, -0.81702345609665, 1.0, -1.0, -1.0, 0.0, 0.0
406, 103, -0.73395937681198, 1.0, -1.0, -1.0, 0.0, 0.0
406, 104, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 105, -0.59230720996857, 1.0, -1.0, 1.0, 0.0, 0.0
406, 106, -0.53208929300308, 1.0, -1.0, 1.0, 0.0, 0.0
406, 107, -0.47799354791641, 1.0, -1.0, 1.0, 0.0, 0.0
406, 108, -0.42939752340317, 1.0, -1.0, 1.0, 0.0, 0.0
406, 109, -0.38574209809303, 1.0, -1.0, 1.0, 0.0, 0.0
406, 110, -0.34652498364449, 1.0, -1.0, 1.0, 0.0, 0.0
406, 111, -0.31129494309425, 1.0, -1.0, 1.0, 0.0, 0.0
406, 112, 0.0, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 113, -0.25121587514877, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 114, -0.22567558288574, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 115, -0.20273189246655, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 116, -0.18212081491947, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 117, -0.16360519826412, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 118, -0.14697200059891, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 119, -0.13202984631062, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 120, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 121, -0.10654844343662, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 122, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 123, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 124, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 125, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 126, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 127, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 128, 0.0, 1.0, -1.0, -0.45419579744339, 0.0, 0.0
